Date        Box_A     Box_B     Box_C     EMI(=Box_A-0.5*Box_B-0.5*Box_C)
1902:10:16:0 0.838775 1.38604 -0.581275 0.436395
1902:11:16:0 0.783002 1.21495 -0.547786 0.449422
1902:12:16:0 0.601837 0.617387 -0.450083 0.518185
1903:1:16:0 0.710361 0.34641 -0.305631 0.689971
1903:2:16:0 0.805754 -0.30275 -0.0835591 0.998909
1903:3:16:0 0.726704 -0.246536 -0.260241 0.980092
1903:4:16:0 0.485368 -0.537181 -0.153551 0.830734
1903:5:16:0 0.25138 -0.30563 -0.0873452 0.447867
1903:6:16:0 0.507055 -0.0275981 -0.463564 0.752635
1903:7:16:0 -0.0121502 -0.463083 -0.150442 0.294612
1903:8:16:0 0.224037 -0.708874 -0.153139 0.655044
1903:9:16:0 -0.0583816 -0.782204 -0.174339 0.41989
1903:10:16:0 -0.116711 -0.816848 -0.131809 0.357617
1903:11:16:0 -0.245762 -0.532551 -0.270815 0.155921
1903:12:16:0 -0.337434 -0.680365 -0.143855 0.0746758
1904:1:16:0 -0.67031 -0.0671023 -0.0255073 -0.624005
1904:2:16:0 -0.434829 -0.477109 -0.203737 -0.0944065
1904:3:16:0 -0.25436 -0.651332 -0.130528 0.136571
1904:4:16:0 -0.261121 -0.64723 -0.292503 0.208745
1904:5:16:0 -0.394432 0.0839868 -0.293518 -0.289666
1904:6:16:0 -0.0924585 0.0224885 -0.295503 0.0440486
1904:7:16:0 0.244168 0.525637 -0.295798 0.129248
1904:8:16:0 0.146949 0.835493 -0.548966 0.00368477
1904:9:16:0 0.0613493 0.513122 -0.310319 -0.0400523
1904:10:16:0 0.520226 0.74634 -0.401782 0.347947
1904:11:16:0 -0.141534 0.746131 -0.294268 -0.367466
1904:12:16:0 0.486548 0.491914 -0.109185 0.295183
1905:1:16:0 0.31063 0.514128 -0.407428 0.25728
1905:2:16:0 0.58779 0.135238 -0.290031 0.665186
1905:3:16:0 0.51103 0.636712 -0.222362 0.303855
